drug_id,atc_code
DDInter1250,L04AA02
DDInter1252,L04AA06
DDInter1253,A04AD11
DDInter1254,M01AX01
DDInter1255,C07BA12
DDInter1255,C07AA12
DDInter1256,J01CR50
DDInter1256,J01CF06
DDInter1257,N02AF02
DDInter1258,A06AH05
DDInter1259,J01MB02
DDInter1260,N07BB05
DDInter1261,A06AH03
DDInter1262,A06AH04
DDInter1262,N02AA53
DDInter1262,V03AB15
DDInter1262,N02AA55
DDInter1262,N02AX51
DDInter1263,N02AA56
DDInter1263,N07BB04
DDInter1263,A08AA62
DDInter1266,G02CC02
DDInter1266,M02AA12
DDInter1266,M01AE56
DDInter1266,M01AE52
DDInter1266,M01AE02
DDInter1267,N02CC02
DDInter1268,L04AA23
DDInter1269,A10BX03
DDInter127,L01XX02
DDInter1271,C07FB12
DDInter1271,C09DX05
DDInter1271,C07BB12
DDInter1271,C07AB12
DDInter1272,L01FE03
DDInter1273,R03BC03
DDInter1273,R01AC07
DDInter1273,S01GX04
DDInter1274,N06AX06
DDInter1275,L01BB07
DDInter1276,J05AE04
DDInter1277,A07AA51
DDInter1277,R02AB01
DDInter1277,J01GB05
DDInter1277,D06AX04
DDInter1277,S03AA01
DDInter1277,A01AB08
DDInter1277,A07AA01
DDInter1277,S02AA07
DDInter1277,B05CA09
DDInter1277,S01AA03
DDInter1278,A07AA51
DDInter1278,R02AB01
DDInter1278,J01GB05
DDInter1278,D06AX04
DDInter1278,S03AA01
DDInter1278,A01AB08
DDInter1278,A07AA01
DDInter1278,S02AA07
DDInter1278,B05CA09
DDInter1278,S01AA03
DDInter1279,N07AA01
DDInter1279,S01EB06
DDInter1279,N07AA51
DDInter128,R06AX11
DDInter1281,L01EH02
DDInter1282,C01DX19
DDInter1283,S01AA23
DDInter1283,J01GB07
DDInter1285,J05AG01
DDInter1285,J05AR05
DDInter1285,J05AR07
DDInter1286,C10AD02
DDInter1286,C10AD52
DDInter1286,C10BA01
DDInter1286,C04AC01
DDInter1287,C08CA04
DDInter1288,P02DA01
DDInter1289,A11HA01
DDInter129,J05AE08
DDInter129,J05AR15
DDInter129,J05AR23
DDInter1290,N07BA01
DDInter1291,C08CA55
DDInter1291,C08GA01
DDInter1291,C08CA05
DDInter1291,C07FB03
DDInter1292,P01CC01
DDInter1293,L01EA03
DDInter1294,L02BB02
DDInter1295,C08CA06
DDInter1296,L01EX09
DDInter1297,L01XK02
DDInter1298,C08CA07
DDInter1299,P01AX11
DDInter13,B01AA07
DDInter130,C07CB53
DDInter130,C07AB03
DDInter130,C07FB03
DDInter130,C07DB01
DDInter130,C07BB03
DDInter130,C07CB03
DDInter1300,A16AX04
DDInter1301,N05CD02
DDInter1302,R07AX01
DDInter1303,J01XE01
DDInter1303,J01XE51
DDInter1304,C01DA02
DDInter1304,C01DA52
DDInter1304,C05AE01
DDInter1305,C02DD01
DDInter1306,V03AB08
DDInter1307,N01AX13
DDInter1307,N01AX63
DDInter1308,L01FF01
DDInter1309,A02BA04
DDInter131,L01FF05
DDInter1310,G03AA13
DDInter1311,C01CA03
DDInter1312,H01CC54
DDInter1312,G03AA05
DDInter1312,G03DC02
DDInter1312,G03AB04
DDInter1312,G03AC01
DDInter1312,G03FA01
DDInter1312,G03FB05
DDInter1313,J01RA14
DDInter1313,J01RA13
DDInter1313,S01AE02
DDInter1313,J01MA06
DDInter1314,G03AA11
DDInter1314,G03FA13
DDInter1314,G03AB09
DDInter1315,G03FA10
DDInter1315,G03FB01
DDInter1315,G03AA06
DDInter1316,N06AA10
DDInter1318,D01AA01
DDInter1318,G01AA01
DDInter1318,A07AA02
DDInter1318,G01AA51
DDInter1319,A05AA04
DDInter132,N06BA09
DDInter1320,L01FA03
DDInter1321,L04AA36
DDInter1323,H01CB02
DDInter1324,L01FA02
DDInter1324,L04AA52
DDInter1325,J01MA01
DDInter1325,J01RA09
DDInter1325,S01AE01
DDInter1325,S02AA16
DDInter1326,N05AH03
DDInter1327,L01XK01
DDInter1328,L01FX10
DDInter1329,N02AX07
DDInter133,C10BA05
DDInter133,C10BX11
DDInter133,C10BX12
DDInter133,C10BX18
DDInter133,C10AA05
DDInter133,C10BX15
DDInter133,C10BX03
DDInter133,C10BX08
DDInter133,C10BX06
DDInter1330,C09DA08
DDInter1330,C09DX03
DDInter1330,C09CA08
DDInter1330,C09DB02
DDInter1331,R03AL06
DDInter1331,R03AC19
DDInter1332,S01GX09
DDInter1332,R01AC08
DDInter1334,A07EC03
DDInter1335,L01XX40
DDInter1336,J01AA15
DDInter1336,J01AA20
DDInter1337,R03DX05
DDInter134,P01AX06
DDInter134,P01BB51
DDInter1340,A02BC01
DDInter1340,A02BD05
DDInter1340,A02BD16
DDInter1340,A02BD01
DDInter1341,M09AX09
DDInter1342,A04AA01
DDInter1343,N04BX04
DDInter1344,A07DA02
DDInter1344,N02AA02
DDInter1345,L03AC02
DDInter1346,R03AB03
DDInter1346,R03CB03
DDInter1346,R03CB53
DDInter1347,J01XA05
DDInter1348,A08AB01
DDInter1349,M03BC51
DDInter1349,N04AB02
DDInter1349,M03BC01
DDInter135,M03AC04
DDInter1350,J05AH02
DDInter1351,H02CA02
DDInter1352,L01EB04
DDInter1353,G03XC05
DDInter1354,J01CR50
DDInter1354,J01CF04
DDInter1355,L01XA03
DDInter1356,P02BA02
DDInter1357,A14AA08
DDInter1358,M01AE12
DDInter1359,N05BA04
DDInter136,S01FA01
DDInter136,A03CB03
DDInter136,A03BA01
DDInter1360,N03AF02
